location,date,new_cases,new_deaths,total_cases,total_deaths
US,2020/1/3,0,0,0,0
US,2020/1/4,0,0,0,0
US,2020/1/5,0,0,0,0
US,2020/1/6,0,0,0,0
US,2020/1/7,0,0,0,0
US,2020/1/8,0,0,0,0
US,2020/1/9,0,0,0,0
US,2020/1/10,0,0,0,0
US,2020/1/11,0,0,0,0
US,2020/1/12,0,0,0,0
US,2020/1/13,0,0,0,0
US,2020/1/14,0,0,0,0
US,2020/1/15,0,0,0,0
US,2020/1/16,0,0,0,0
US,2020/1/17,0,0,0,0
US,2020/1/18,0,0,0,0
US,2020/1/19,0,0,0,0
US,2020/1/20,0,0,0,0
US,2020/1/21,1,0,1,0
US,2020/1/22,0,0,1,0
US,2020/1/23,0,0,1,0
US,2020/1/24,0,0,1,0
US,2020/1/25,1,0,2,0
US,2020/1/26,0,0,2,0
US,2020/1/27,3,0,5,0
US,2020/1/28,0,0,5,0
US,2020/1/29,0,0,5,0
US,2020/1/30,0,0,5,0
US,2020/1/31,1,0,6,0
US,2020/2/1,1,0,7,0
US,2020/2/2,1,0,8,0
US,2020/2/3,3,0,11,0
US,2020/2/4,0,0,11,0
US,2020/2/5,0,0,11,0
US,2020/2/6,1,0,12,0
US,2020/2/7,0,0,12,0
US,2020/2/8,0,0,12,0
US,2020/2/9,0,0,12,0
US,2020/2/10,0,0,12,0
US,2020/2/11,1,0,13,0
US,2020/2/12,0,0,13,0
US,2020/2/13,1,0,14,0
US,2020/2/14,1,0,15,0
US,2020/2/15,0,0,15,0
US,2020/2/16,0,0,15,0
US,2020/2/17,0,0,15,0
US,2020/2/18,0,0,15,0
US,2020/2/19,0,0,15,0
US,2020/2/20,0,0,15,0
US,2020/2/21,1,0,16,0
US,2020/2/22,19,0,35,0
US,2020/2/23,0,0,35,0
US,2020/2/24,0,0,35,0
US,2020/2/25,18,0,53,0
US,2020/2/26,0,0,53,0
US,2020/2/27,6,0,59,0
US,2020/2/28,1,0,60,0
US,2020/2/29,6,0,66,0
US,2020/3/1,3,1,69,1
US,2020/3/2,20,1,89,2
US,2020/3/3,14,4,103,6
US,2020/3/4,22,3,125,9
US,2020/3/5,34,2,159,11
US,2020/3/6,74,1,233,12
US,2020/3/7,105,2,338,14
US,2020/3/8,95,3,433,17
US,2020/3/9,121,4,554,21
US,2020/3/10,200,5,754,26
US,2020/3/11,271,2,1025,28
US,2020/3/12,287,2,1312,30
US,2020/3/13,351,10,1663,40
US,2020/3/14,511,7,2174,47
US,2020/3/15,777,10,2951,57
US,2020/3/16,823,12,3774,69
US,2020/3/17,887,16,4661,85
US,2020/3/18,1766,23,6427,108
US,2020/3/19,2988,42,9415,150
US,2020/3/20,4835,0,14250,150
US,2020/3/21,5374,110,19624,260
US,2020/3/22,7123,80,26747,340
US,2020/3/23,8459,131,35206,471
US,2020/3/24,11236,119,46442,590
US,2020/3/25,8789,211,55231,801
US,2020/3/26,13963,249,69194,1050
US,2020/3/27,16797,246,85991,1296
US,2020/3/28,18695,411,104686,1707
US,2020/3/29,19979,484,124665,2191
US,2020/3/30,18360,318,143025,2509
US,2020/3/31,21595,661,164620,3170
US,2020/4/1,24998,909,189618,4079
US,2020/4/2,27103,1059,216721,5138
US,2020/4/3,28819,915,245540,6053
US,2020/4/4,32425,1104,277965,7157
US,2020/4/5,34272,1344,312237,8501
US,2020/4/6,25398,1146,337635,9647
US,2020/4/7,30561,1342,368196,10989
US,2020/4/8,30613,1906,398809,12895
US,2020/4/9,33323,1922,432132,14817
US,2020/4/10,33901,1873,466033,16690
US,2020/4/11,35527,2087,501560,18777
US,2020/4/12,28391,1831,529951,20608
US,2020/4/13,27620,1500,557571,22108
Spain,2019/12/31,0,0,0,0
Spain,2020/1/1,0,0,0,0
Spain,2020/1/2,0,0,0,0
Spain,2020/1/3,0,0,0,0
Spain,2020/1/4,0,0,0,0
Spain,2020/1/5,0,0,0,0
Spain,2020/1/6,0,0,0,0
Spain,2020/1/7,0,0,0,0
Spain,2020/1/8,0,0,0,0
Spain,2020/1/9,0,0,0,0
Spain,2020/1/10,0,0,0,0
Spain,2020/1/11,0,0,0,0
Spain,2020/1/12,0,0,0,0
Spain,2020/1/13,0,0,0,0
Spain,2020/1/14,0,0,0,0
Spain,2020/1/15,0,0,0,0
Spain,2020/1/16,0,0,0,0
Spain,2020/1/17,0,0,0,0
Spain,2020/1/18,0,0,0,0
Spain,2020/1/19,0,0,0,0
Spain,2020/1/20,0,0,0,0
Spain,2020/1/21,0,0,0,0
Spain,2020/1/22,0,0,0,0
Spain,2020/1/23,0,0,0,0
Spain,2020/1/24,0,0,0,0
Spain,2020/1/25,0,0,0,0
Spain,2020/1/26,0,0,0,0
Spain,2020/1/27,0,0,0,0
Spain,2020/1/28,0,0,0,0
Spain,2020/1/29,0,0,0,0
Spain,2020/1/30,0,0,0,0
Spain,2020/1/31,0,0,0,0
Spain,2020/2/1,1,0,1,0
Spain,2020/2/2,0,0,1,0
Spain,2020/2/3,0,0,1,0
Spain,2020/2/4,0,0,1,0
Spain,2020/2/5,0,0,1,0
Spain,2020/2/6,0,0,1,0
Spain,2020/2/7,0,0,1,0
Spain,2020/2/8,0,0,1,0
Spain,2020/2/9,0,0,1,0
Spain,2020/2/10,1,0,2,0
Spain,2020/2/11,0,0,2,0
Spain,2020/2/12,0,0,2,0
Spain,2020/2/13,0,0,2,0
Spain,2020/2/14,0,0,2,0
Spain,2020/2/15,0,0,2,0
Spain,2020/2/16,0,0,2,0
Spain,2020/2/17,0,0,2,0
Spain,2020/2/18,0,0,2,0
Spain,2020/2/19,0,0,2,0
Spain,2020/2/20,0,0,2,0
Spain,2020/2/21,0,0,2,0
Spain,2020/2/22,0,0,2,0
Spain,2020/2/23,0,0,2,0
Spain,2020/2/24,0,0,2,0
Spain,2020/2/25,1,0,3,0
Spain,2020/2/26,4,0,7,0
Spain,2020/2/27,5,0,12,0
Spain,2020/2/28,13,0,25,0
Spain,2020/2/29,9,0,34,0
Spain,2020/3/1,32,0,66,0
Spain,2020/3/2,17,0,83,0
Spain,2020/3/3,31,0,114,0
Spain,2020/3/4,37,0,151,0
Spain,2020/3/5,49,1,200,1
Spain,2020/3/6,61,2,261,3
Spain,2020/3/7,113,2,374,5
Spain,2020/3/8,56,0,430,5
Spain,2020/3/9,159,0,589,5
Spain,2020/3/10,615,23,1204,28
Spain,2020/3/11,435,7,1639,35
Spain,2020/3/12,501,12,2140,47
Spain,2020/3/13,864,37,3004,84
Spain,2020/3/14,1227,37,4231,121
Spain,2020/3/15,1522,15,5753,136
Spain,2020/3/16,2000,152,7753,288
Spain,2020/3/17,1438,21,9191,309
Spain,2020/3/18,1987,182,11178,491
Spain,2020/3/19,2538,107,13716,598
Spain,2020/3/20,3431,169,17147,767
Spain,2020/3/21,2833,235,19980,1002
Spain,2020/3/22,4946,324,24926,1326
Spain,2020/3/23,3646,394,28572,1720
Spain,2020/3/24,4517,462,33089,2182
Spain,2020/3/25,6584,514,39673,2696
Spain,2020/3/26,7937,738,47610,3434
Spain,2020/3/27,8578,655,56188,4089
Spain,2020/3/28,7871,769,64059,4858
Spain,2020/3/29,8189,832,72248,5690
Spain,2020/3/30,6549,838,78797,6528
Spain,2020/3/31,6398,812,85195,7340
Spain,2020/4/1,9222,849,94417,8189
Spain,2020/4/2,7719,864,102136,9053
Spain,2020/4/3,8102,950,110238,10003
Spain,2020/4/4,7472,932,117710,10935
Spain,2020/4/5,7026,809,124736,11744
Spain,2020/4/6,6023,674,130759,12418
Spain,2020/4/7,4273,637,135032,13055
Spain,2020/4/8,5478,743,140510,13798
Spain,2020/4/9,6180,757,146690,14555
Spain,2020/4/10,5756,683,152446,15238
Spain,2020/4/11,4576,605,157022,15843
Spain,2020/4/12,4830,510,161852,16353
Spain,2020/4/13,4167,619,166019,16972
Italy,2019/12/31,0,0,0,0
Italy,2020/1/1,0,0,0,0
Italy,2020/1/2,0,0,0,0
Italy,2020/1/3,0,0,0,0
Italy,2020/1/4,0,0,0,0
Italy,2020/1/5,0,0,0,0
Italy,2020/1/6,0,0,0,0
Italy,2020/1/7,0,0,0,0
Italy,2020/1/8,0,0,0,0
Italy,2020/1/9,0,0,0,0
Italy,2020/1/10,0,0,0,0
Italy,2020/1/11,0,0,0,0
Italy,2020/1/12,0,0,0,0
Italy,2020/1/13,0,0,0,0
Italy,2020/1/14,0,0,0,0
Italy,2020/1/15,0,0,0,0
Italy,2020/1/16,0,0,0,0
Italy,2020/1/17,0,0,0,0
Italy,2020/1/18,0,0,0,0
Italy,2020/1/19,0,0,0,0
Italy,2020/1/20,0,0,0,0
Italy,2020/1/21,0,0,0,0
Italy,2020/1/22,0,0,0,0
Italy,2020/1/23,0,0,0,0
Italy,2020/1/24,0,0,0,0
Italy,2020/1/25,0,0,0,0
Italy,2020/1/26,0,0,0,0
Italy,2020/1/27,0,0,0,0
Italy,2020/1/28,0,0,0,0
Italy,2020/1/29,0,0,0,0
Italy,2020/1/30,0,0,0,0
Italy,2020/1/31,3,0,3,0
Italy,2020/2/1,0,0,3,0
Italy,2020/2/2,0,0,3,0
Italy,2020/2/3,0,0,3,0
Italy,2020/2/4,0,0,3,0
Italy,2020/2/5,0,0,3,0
Italy,2020/2/6,0,0,3,0
Italy,2020/2/7,0,0,3,0
Italy,2020/2/8,0,0,3,0
Italy,2020/2/9,0,0,3,0
Italy,2020/2/10,0,0,3,0
Italy,2020/2/11,0,0,3,0
Italy,2020/2/12,0,0,3,0
Italy,2020/2/13,0,0,3,0
Italy,2020/2/14,0,0,3,0
Italy,2020/2/15,0,0,3,0
Italy,2020/2/16,0,0,3,0
Italy,2020/2/17,0,0,3,0
Italy,2020/2/18,0,0,3,0
Italy,2020/2/19,0,0,3,0
Italy,2020/2/20,0,0,3,0
Italy,2020/2/21,0,0,3,0
Italy,2020/2/22,14,0,17,0
Italy,2020/2/23,62,2,79,2
Italy,2020/2/24,53,0,132,2
Italy,2020/2/25,97,4,229,6
Italy,2020/2/26,93,5,322,11
Italy,2020/2/27,78,1,400,12
Italy,2020/2/28,250,5,650,17
Italy,2020/2/29,238,4,888,21
Italy,2020/3/1,240,8,1128,29
Italy,2020/3/2,561,6,1689,35
Italy,2020/3/3,347,17,2036,52
Italy,2020/3/4,466,28,2502,80
Italy,2020/3/5,587,27,3089,107
Italy,2020/3/6,769,41,3858,148
Italy,2020/3/7,778,49,4636,197
Italy,2020/3/8,1247,36,5883,233
Italy,2020/3/9,1492,133,7375,366
Italy,2020/3/10,1797,98,9172,464
Italy,2020/3/11,977,167,10149,631
Italy,2020/3/12,2313,196,12462,827
Italy,2020/3/13,2651,189,15113,1016
Italy,2020/3/14,2547,252,17660,1268
Italy,2020/3/15,3497,173,21157,1441
Italy,2020/3/16,2823,370,23980,1811
Italy,2020/3/17,4000,347,27980,2158
Italy,2020/3/18,3526,347,31506,2505
Italy,2020/3/19,4207,473,35713,2978
Italy,2020/3/20,5322,429,41035,3407
Italy,2020/3/21,5986,625,47021,4032
Italy,2020/3/22,6557,795,53578,4827
Italy,2020/3/23,5560,649,59138,5476
Italy,2020/3/24,4789,601,63927,6077
Italy,2020/3/25,5249,743,69176,6820
Italy,2020/3/26,5210,685,74386,7505
Italy,2020/3/27,6153,660,80539,8165
Italy,2020/3/28,5959,971,86498,9136
Italy,2020/3/29,5974,887,92472,10023
Italy,2020/3/30,5217,758,97689,10781
Italy,2020/3/31,4050,810,101739,11591
Italy,2020/4/1,4053,839,105792,12430
Italy,2020/4/2,4782,727,110574,13157
Italy,2020/4/3,4668,760,115242,13917
Italy,2020/4/4,4585,764,119827,14681
Italy,2020/4/5,4805,681,124632,15362
Italy,2020/4/6,4316,527,128948,15889
Italy,2020/4/7,3599,636,132547,16525
Italy,2020/4/8,3039,604,135586,17129
Italy,2020/4/9,3836,540,139422,17669
Italy,2020/4/10,4204,612,143626,18281
Italy,2020/4/11,3951,570,147577,18851
Italy,2020/4/12,4694,619,152271,19470
Italy,2020/4/13,4092,431,156363,19901
Germany,2019/12/31,0,0,0,0
Germany,2020/1/1,0,0,0,0
Germany,2020/1/2,0,0,0,0
Germany,2020/1/3,0,0,0,0
Germany,2020/1/4,0,0,0,0
Germany,2020/1/5,0,0,0,0
Germany,2020/1/6,0,0,0,0
Germany,2020/1/7,0,0,0,0
Germany,2020/1/8,0,0,0,0
Germany,2020/1/9,0,0,0,0
Germany,2020/1/10,0,0,0,0
Germany,2020/1/11,0,0,0,0
Germany,2020/1/12,0,0,0,0
Germany,2020/1/13,0,0,0,0
Germany,2020/1/14,0,0,0,0
Germany,2020/1/15,0,0,0,0
Germany,2020/1/16,0,0,0,0
Germany,2020/1/17,0,0,0,0
Germany,2020/1/18,0,0,0,0
Germany,2020/1/19,0,0,0,0
Germany,2020/1/20,0,0,0,0
Germany,2020/1/21,0,0,0,0
Germany,2020/1/22,0,0,0,0
Germany,2020/1/23,0,0,0,0
Germany,2020/1/24,0,0,0,0
Germany,2020/1/25,0,0,0,0
Germany,2020/1/26,0,0,0,0
Germany,2020/1/27,0,0,0,0
Germany,2020/1/28,1,0,1,0
Germany,2020/1/29,3,0,4,0
Germany,2020/1/30,0,0,4,0
Germany,2020/1/31,1,0,5,0
Germany,2020/2/1,2,0,7,0
Germany,2020/2/2,1,0,8,0
Germany,2020/2/3,1,0,9,0
Germany,2020/2/4,2,0,11,0
Germany,2020/2/5,0,0,11,0
Germany,2020/2/6,0,0,11,0
Germany,2020/2/7,1,0,12,0
Germany,2020/2/8,1,0,13,0
Germany,2020/2/9,0,0,13,0
Germany,2020/2/10,0,0,13,0
Germany,2020/2/11,0,0,13,0
Germany,2020/2/12,2,0,15,0
Germany,2020/2/13,0,0,15,0
Germany,2020/2/14,0,0,15,0
Germany,2020/2/15,0,0,15,0
Germany,2020/2/16,0,0,15,0
Germany,2020/2/17,0,0,15,0
Germany,2020/2/18,0,0,15,0
Germany,2020/2/19,0,0,15,0
Germany,2020/2/20,0,0,15,0
Germany,2020/2/21,0,0,15,0
Germany,2020/2/22,0,0,15,0
Germany,2020/2/23,0,0,15,0
Germany,2020/2/24,0,0,15,0
Germany,2020/2/25,0,0,15,0
Germany,2020/2/26,2,0,17,0
Germany,2020/2/27,4,0,21,0
Germany,2020/2/28,26,0,47,0
Germany,2020/2/29,10,0,57,0
Germany,2020/3/1,54,0,111,0
Germany,2020/3/2,18,0,129,0
Germany,2020/3/3,28,0,157,0
Germany,2020/3/4,39,0,196,0
Germany,2020/3/5,66,0,262,0
Germany,2020/3/6,138,0,400,0
Germany,2020/3/7,284,0,684,0
Germany,2020/3/8,163,0,847,0
Germany,2020/3/9,55,0,902,0
Germany,2020/3/10,237,2,1139,2
Germany,2020/3/11,157,0,1296,2
Germany,2020/3/12,271,1,1567,3
Germany,2020/3/13,802,2,2369,5
Germany,2020/3/14,693,0,3062,5
Germany,2020/3/15,733,3,3795,8
Germany,2020/3/16,1043,4,4838,12
Germany,2020/3/17,1174,1,6012,13
Germany,2020/3/18,1144,0,7156,13
Germany,2020/3/19,1042,0,8198,13
Germany,2020/3/20,5940,30,14138,43
Germany,2020/3/21,4049,2,18187,45
Germany,2020/3/22,3276,22,21463,67
Germany,2020/3/23,3311,27,24774,94
Germany,2020/3/24,4438,32,29212,126
Germany,2020/3/25,2342,23,31554,149
Germany,2020/3/26,4954,49,36508,198
Germany,2020/3/27,5780,55,42288,253
Germany,2020/3/28,6294,72,48582,325
Germany,2020/3/29,3965,64,52547,389
Germany,2020/3/30,4751,66,57298,455
Germany,2020/3/31,4615,128,61913,583
Germany,2020/4/1,5453,149,67366,732
Germany,2020/4/2,6156,140,73522,872
Germany,2020/4/3,6174,145,79696,1017
Germany,2020/4/4,6082,141,85778,1158
Germany,2020/4/5,5936,184,91714,1342
Germany,2020/4/6,3677,92,95391,1434
Germany,2020/4/7,3834,173,99225,1607
Germany,2020/4/8,4003,254,103228,1861
Germany,2020/4/9,4974,246,108202,2107
Germany,2020/4/10,5323,266,113525,2373
Germany,2020/4/11,4133,171,117658,2544
Germany,2020/4/12,2821,129,120479,2673
Germany,2020/4/13,2537,126,123016,2799
France,2019/12/31,0,0,0,0
France,2020/1/1,0,0,0,0
France,2020/1/2,0,0,0,0
France,2020/1/3,0,0,0,0
France,2020/1/4,0,0,0,0
France,2020/1/5,0,0,0,0
France,2020/1/6,0,0,0,0
France,2020/1/7,0,0,0,0
France,2020/1/8,0,0,0,0
France,2020/1/9,0,0,0,0
France,2020/1/10,0,0,0,0
France,2020/1/11,0,0,0,0
France,2020/1/12,0,0,0,0
France,2020/1/13,0,0,0,0
France,2020/1/14,0,0,0,0
France,2020/1/15,0,0,0,0
France,2020/1/16,0,0,0,0
France,2020/1/17,0,0,0,0
France,2020/1/18,0,0,0,0
France,2020/1/19,0,0,0,0
France,2020/1/20,0,0,0,0
France,2020/1/21,0,0,0,0
France,2020/1/22,0,0,0,0
France,2020/1/23,0,0,0,0
France,2020/1/24,0,0,0,0
France,2020/1/25,3,0,3,0
France,2020/1/26,0,0,3,0
France,2020/1/27,0,0,3,0
France,2020/1/28,0,0,3,0
France,2020/1/29,1,0,4,0
France,2020/1/30,1,0,5,0
France,2020/1/31,1,0,6,0
France,2020/2/1,0,0,6,0
France,2020/2/2,0,0,6,0
France,2020/2/3,0,0,6,0
France,2020/2/4,0,0,6,0
France,2020/2/5,0,0,6,0
France,2020/2/6,0,0,6,0
France,2020/2/7,0,0,6,0
France,2020/2/8,5,0,11,0
France,2020/2/9,0,0,11,0
France,2020/2/10,0,0,11,0
France,2020/2/11,0,0,11,0
France,2020/2/12,0,0,11,0
France,2020/2/13,0,0,11,0
France,2020/2/14,0,0,11,0
France,2020/2/15,0,1,11,1
France,2020/2/16,0,0,11,1
France,2020/2/17,1,0,12,1
France,2020/2/18,0,0,12,1
France,2020/2/19,0,0,12,1
France,2020/2/20,0,0,12,1
France,2020/2/21,0,0,12,1
France,2020/2/22,0,0,12,1
France,2020/2/23,0,0,12,1
France,2020/2/24,0,0,12,1
France,2020/2/25,0,0,12,1
France,2020/2/26,2,0,14,1
France,2020/2/27,3,1,17,2
France,2020/2/28,21,0,38,2
France,2020/2/29,19,0,57,2
France,2020/3/1,43,0,100,2
France,2020/3/2,30,0,130,2
France,2020/3/3,48,1,178,3
France,2020/3/4,34,1,212,4
France,2020/3/5,73,0,285,4
France,2020/3/6,138,3,423,7
France,2020/3/7,190,2,613,9
France,2020/3/8,103,1,716,10
France,2020/3/9,410,9,1126,19
France,2020/3/10,286,11,1412,30
France,2020/3/11,372,3,1784,33
France,2020/3/12,497,15,2281,48
France,2020/3/13,595,13,2876,61
France,2020/3/14,785,18,3661,79
France,2020/3/15,838,12,4499,91
France,2020/3/16,924,36,5423,127
France,2020/3/17,1210,21,6633,148
France,2020/3/18,1097,27,7730,175
France,2020/3/19,1404,69,9134,244
France,2020/3/20,1861,128,10995,372
France,2020/3/21,1617,78,12612,450
France,2020/3/22,1847,112,14459,562
France,2020/3/23,1559,112,16018,674
France,2020/3/24,3838,186,19856,860
France,2020/3/25,2446,240,22302,1100
France,2020/3/26,2931,231,25233,1331
France,2020/3/27,3922,365,29155,1696
France,2020/3/28,3809,299,32964,1995
France,2020/3/29,4611,319,37575,2314
France,2020/3/30,2599,292,40174,2606
France,2020/3/31,4376,418,44550,3024
France,2020/4/1,7578,499,52128,3523
France,2020/4/2,4861,509,56989,4032
France,2020/4/3,2116,471,59105,4503
France,2020/4/4,5233,2004,64338,6507
France,2020/4/5,4267,1053,68605,7560
France,2020/4/6,1873,518,70478,8078
France,2020/4/7,3912,833,74390,8911
France,2020/4/8,3777,1417,78167,10328
France,2020/4/9,3881,541,82048,10869
France,2020/4/10,4286,1341,86334,12210
